Scopus refine results values

"Your query : (TITLE-ABS-KEY(""tremor suppression"" OR ""suppression of tremor"" OR ""tremor compensation"" OR ""compensation of tremor"") AND ( LIMIT-TO ( DOCTYPE,""re"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 25

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Haubenberger, D.","1",,,,,,,,,"Treatment Outcome","3","Northwestern University Feinberg School of Medicine","1",,,,,,,,
,,,,"Helmers, A.K.","1",,,,,,,,,"Zona Incerta","3","Indian Institute of Technology Bombay","1",,,,,,,,
,,,,"Helmich, R.C.","1",,,,,,,,,"Assistive Technology","2","UC San Diego School of Medicine","1",,,,,,,,
,,,,"Horn, A.","1",,,,,,,,,"Ataxia","2","Universitätsklinikum Schleswig-Holstein Campus Lübeck","1",,,,,,,,
,,,,"Hosseini, S.M.","1",,,,,,,,,"Basal Ganglion","2","Massachusetts College of Pharmacy and Health Sciences","1",,,,,,,,
,,,,"Hu, W.","1",,,,,,,,,"Bradykinesia","2","Brigham and Women's Hospital","1",,,,,,,,
,,,,"Huang, F.","1",,,,,,,,,"Brain Mapping","2","Eberhard Karls Universität Tübingen","1",,,,,,,,
,,,,"Ilinsky, I.","1",,,,,,,,,"Clinical Effectiveness","2","Iranian Research Institute for Fundamental Sciences","1",,,,,,,,
,,,,"Iyer, A.","1",,,,,,,,,"Clinical Feature","2","Deakin University","1",,,,,,,,
,,,,"Izumi, Y.","1",,,,,,,,,"Daily Life Activity","2","Universiteit Maastricht","1",,,,,,,,
,,,,"Jahromi, G.G.","1",,,,,,,,,"Disease Severity","2","Shahid Beheshti University of Medical Sciences","1",,,,,,,,
,,,,"Janeshin, K.","1",,,,,,,,,"Drug Efficacy","2","Donders Centre voor Cognitive Neuroimaging","1",,,,,,,,
,,,,"Jiang, X.","1",,,,,,,,,"Dysarthria","2","Tianjin University","1",,,,,,,,
,,,,"Jin, M.","1",,,,,,,,,"Dystonia","2","UNC School of Medicine","1",,,,,,,,
,,,,"Kouzani, A.Z.","1",,,,,,,,,"Elbow Flexion","2","SIU School of Medicine","1",,,,,,,,
,,,,"Kultas-Ilinsky, K.","1",,,,,,,,,"Electric Stimulation Therapy","2","Universitätsmedizin Mainz","1",,,,,,,,
,,,,"Li, Y.","1",,,,,,,,,"Electrical Stimulation","2","University of Iowa","1",,,,,,,,
,,,,"Lin, F.","1",,,,,,,,,"Electromyography","2","Tokushima University Faculty of Medicine","1",,,,,,,,
,,,,"Liu, F.","1",,,,,,,,,"Follow Up","2","Iran University of Medical Sciences","1",,,,,,,,
,,,,"Lora-Millan, J.S.","1",,,,,,,,,"Functional Electrical Stimulation","2","The University of North Carolina at Chapel Hill","1",,,,,,,,
,,,,"Luu, T.P.","1",,,,,,,,,"Hand Tremor","2","School of Medicine","1",,,,,,,,
